title,overview
Bhaag Milkha Bhaag,"The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition. Genre: Biography, Drama, Sport"
Queen,"A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled. Genre: Adventure, Comedy, Drama"
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg. Genre: Action, Sci-Fi"
Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples. Genre: Action, Drama"
My Fair Lady,"Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society. Genre: Drama, Family, Musical"
The Wizard of Oz,"Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well. Genre: Adventure, Family, Fantasy"
Misery,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse. Genre: Drama, Thriller"
Black Hawk Down,"160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis. Genre: Drama, History, War"
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown. Genre: Adventure, Comedy, Sci-Fi"
Koe no katachi,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption. Genre: Animation, Drama, Family"
Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks. Genre: Adventure, Biography, Drama"
The Hustler,"An up-and-coming pool player plays a long-time champion in a single high-stakes match. Genre: Drama, Sport"
The Departed,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston. Genre: Crime, Drama, Thriller"
The Graduate,"A disillusioned college graduate finds himself torn between his older lover and her daughter. Genre: Comedy, Drama, Romance"
Star Trek,"The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time. Genre: Action, Adventure, Sci-Fi"
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time. Genre: Drama, Family"
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour. Genre: Drama, Romance"
Boyhood,"The life of Mason, from early childhood to his arrival at college. Genre: Drama"
Hell or High Water,"A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas. Genre: Action, Crime, Drama"
Ed Wood,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent. Genre: Biography, Comedy, Drama"
"4 luni, 3 saptamâni si 2 zile",A woman assists her friend in arranging an illegal abortion in 1980s Romania. Genre: Drama
District 9,"Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology. Genre: Action, Sci-Fi, Thriller"
El cuerpo,"A detective searches for the body of a femme fatale which has gone missing from a morgue. Genre: Mystery, Thriller"
Miracle in cell NO.7,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013). Genre: Drama
Annie Hall,"Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall. Genre: Comedy, Romance"
Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed. Genre: Crime, Drama"
Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing. Genre: Comedy, Drama, Family"
Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris. Genre: Action, Thriller"
Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home. Genre: Animation, Adventure, Comedy"
Rear Window,"A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder. Genre: Mystery, Thriller"
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus. Genre: Drama, Film-Noir"
Inside Man,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation. Genre: Crime, Drama, Mystery"
Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom. Genre: Action, Drama"
Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite. Genre: Crime, Drama"
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal. Genre: Comedy, Drama, Romance"
Babam ve Oglum,"The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980. Genre: Drama, Family"
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night. Genre: Drama"
The Boondock Saints,"Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God. Genre: Action, Crime, Thriller"
Dip huet seung hung,"A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded. Genre: Action, Crime, Drama"
Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested. Genre: Drama, Romance"
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. Genre: Adventure, Family, Fantasy"
The Day of the Jackal,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France. Genre: Crime, Drama, Thriller"
2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000. Genre: Adventure, Sci-Fi"
Barfi!,"Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. Genre: Comedy, Drama, Romance"
"Lock, Stock and Two Smoking Barrels","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns. Genre: Action, Comedy, Crime"
Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him. Genre: Mystery, Thriller"
Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart. Genre: Drama, Romance"
It's a Wonderful Life,"An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed. Genre: Drama, Family, Fantasy"
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites. Genre: Drama, Romance"
La haine,"24 hours in the lives of three young men in the French suburbs the day after a violent riot. Genre: Crime, Drama"
Manhattan,"The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress. Genre: Comedy, Drama, Romance"
